V1,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus
ResponseID,Alejandra Melgoza - Independent,Austin Hechler - Campus United,Jose Magana - Peer Action Coalition (PAC),Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Ashcon Minoiefar - Campus United,Neha Nayak - Campus United,Stevan Abdalmalik - The Response,Victor Garcia - Peer Action Coalition (PAC),"Josephine ""Josie"" Ampaw - Independent",Cameron Demille - Peer Action Coalition (PAC),"Felipe ""Flippy"" Recinos Quant - The Response","Williams ""Willie"" Roman - The Response",Marjan Abubo - The Response,Alexander Giolito - Campus United,Tamar Barlev - Campus United,Jasmine Sandhu - Campus United,Kimberly Fuentes Carrillo - Peer Action Coalition (PAC),Steven Kwok - Peer Action Coalition (PAC),"Richard ""Rick"" Zierer - Peer Action Coalition (PAC)","Emanuel ""Manny"" Suarez Jimenez - Queer and Trans Student Body (QuTSB)",Ezra Kosviner - Campus United,"Jordan ""Robeman"" Mitchell - The Response",Adam Tabor - Peer Action Coalition (PAC),"Matthew ""Matt"" Greenberg - Campus United",Kelvin Campos - Peer Action Coalition (PAC),"Jonathan ""Jonathan Lopez"" Lopez - The Response",Jesse Velasquez - The Response,Leanna Lugo - The Response,Luvia Solis-Barraza - The Response,Maria Hoang - The Response,Reilly Hobson - Campus United,Bianca Fernandez - Campus United,Elias Jordan - Campus United,Cole Marting - Campus United,"Steven ""Digy"" Stovall - Campus United",Patrick Dohoney - Campus United,Rebecca Yadegari - Campus United,Batsheva Stoll - Campus United,"Izabella ""Izzy"" Kipnis - Campus United",Hannah Ellenhorn - Campus United,Ashley Selki - Campus United,Cole Hyatt - The Response,Joel Ruiz - Peer Action Coalition (PAC),Hien Mai - The Response,Sophia Dycaico - Peer Action Coalition (PAC),Sebastian Rubio Ruiz - Peer Action Coalition (PAC),Aaron Hendizadeh - Campus United,Marisol Hernandez - Peer Action Coalition (PAC),Juliano Pula - Peer Action Coalition (PAC),Lesly Silva - The Response,"Bryan ""Bryan"" Samayoa-Velasquez - Campus United","Kuvimbanashe ""Eddy"" Chikukwa - Peer Action Coalition (PAC)","Kou ""KO"" Collins - Peer Action Coalition (PAC)",Conor Collins - Peer Action Coalition (PAC),Unique Vance - The Response,"Yanira ""Jenny"" Flores - The Response",Deanna Nguyen - Campus United,"Sabrina ""Sabrina"" Divin - Peer Action Coalition (PAC)"
R_00000000000109,3,1,2,1,Ashcon Minoiefar,2,Neha Nayak,3,Victor Garcia,1,1,3,2,1,,,,,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,
R_00000000000110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000111,2,1,3,,Natalie Jordan,,,,,1,1,2,3,1,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000112,3,1,2,,,,,,,1,1,3,2,1,4,1,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,1,4,,,
R_00000000000113,,1,,,Natalie Jordan,,,,,1,1,,,1,,,,,2,1,3,,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000114,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,11,12,13,2,10,9,8,6,7,4,5,,,,,,1,,,,,,,,,,,
R_00000000000115,3,1,2,1,Natalie Jordan,2,Manushi Yapabandara,,,1,1,3,2,1,,,,,1,2,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,,3,4,,,
R_00000000000116,3,1,2,1,Natalie Jordan,,,,,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000117,,1,,,Natalie Jordan,,,,,1,1,,,,4,,,,1,2,3,,,,,,,,,,,,,,,13,6,10,4,8,1,11,2,7,12,9,,,,,,5,,,,,,,,,,,
R_00000000000118,1,2,3,,,,,,,,1,3,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000119,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,3,1,2,,,,,,,,,,,,,,,,,5,,,,,,,1,2,,,,,,4,,,,,,,,,,,
R_00000000000120,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000121,3,2,1,,,,,,,1,3,1,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2
R_00000000000122,,1,,,,,,,,1,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,13,12,11,10,9,8,7,6,5,1,4,,,,,,2,,,,,,,,,,,
R_00000000000123,1,3,2,,,,,,,1,3,1,2,1,,1,2,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
R_00000000000124,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,3,1,2,,,,,,,,,,,,,,,2,4,1,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
R_00000000000125,1,,2,1,Manushi Yapabandara,,,,,,,1,,1,,2,3,1,,,,,,,,,,,,,7,6,1,2,5,,,,,,,,,,,,8,9,4,,,,,,,,,,,,,,
R_00000000000126,2,1,3,,,,,,,1,1,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000000127,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,11,10,9,8,2,1,7,6,,,5,,,,,,4,,,,,,,,,,,
R_00000000000128,3,1,2,,,,,,,1,2,3,1,,,,,,,,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3
R_00000000000129,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,13,5,7,6,4,1,8,9,10,11,12,,,,,,2,,,,,,,,,,,
R_00000000000130,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000131,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,2,1,3,,,,,,,,,,,,,,,9,1,8,7,10,6,13,11,5,4,12,,,,,,2,,,,,,,,,,,
R_00000000000132,,1,,,,,,,,1,1,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,5,4,2,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000133,,1,,1,Natalie Jordan,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000134,3,1,2,,,,,,,1,1,3,2,1,,1,,,4,,3,,2,,,,,,,,,,,,1,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,
R_00000000000135,2,3,1,1,Jose Magana,,,,,1,1,3,2,1,,,,,,2,4,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,4,5,2,,,
R_00000000000136,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000137,,1,,,,,,,,1,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000138,,,,,,,,,,1,,,,,,,3,2,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000140,2,1,3,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,2,1,3,,,,4,,,,,,,,,,,11,1,10,9,8,7,6,12,13,2,5,14,,,,,4,,,,,,,,,,,
R_00000000000141,3,1,2,,,,,,,1,1,3,2,,,,,,2,1,3,,,,,,,,,,,,,,,13,2,12,1,8,7,11,6,10,5,4,,,,,,9,,,,,,,,,,,
R_00000000000142,3,1,2,1,Austin hechler,2,Jose manana ,3,Alejandra melgoza ,1,1,2,3,1,,,,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,5,,3,,,
R_00000000000143,,1,,,Natalie Jordan,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000144,3,1,2,,,,,,,1,1,3,2,1,,,,,2,1,3,,,,4,,,,,,,,,,,,4,2,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000145,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000146,,1,,,,,,1,Natalie Jordan,1,1,,,1,,,,,2,1,3,,,4,,,,,,,,,,,,,1,,4,,,,,5,2,,,,,,,6,,,,,,,,,,,
R_00000000000147,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000000148,1,3,2,,,,,,,,3,1,2,1,,2,1,3,,,,,,4,,,,,,,1,2,4,5,6,,,,,,,,,,,,7,9,8,13,12,,11,10,,,,,,,,,
R_00000000000149,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,1,2,3,,,,,,,,,,,,,,,11,13,6,5,1,2,10,9,8,4,7,,,,,,12,,,,,,,,,,,
R_00000000000150,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,3,2,1,,,,,,,,,,,,,,,4,5,1,6,7,2,8,9,10,11,12,,,,,,,,,,,,,,,,,
R_00000000000151,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,1,2,3,,,,,,,,,,,,,,,4,2,5,1,6,7,8,,9,11,10,,,,,,12,,,,,,,,,,,
R_00000000000152,2,1,3,,,,,,,1,2,1,3,1,,,,,2,3,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000153,2,1,,,,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,5,6,4,9,13,12,8,11,10,1,7,,,,,,2,,,,,,,,,,,
R_00000000000154,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,4,2,1,,8,7,,6,,,,,,5,,,,,,,,,,,
R_00000000000155,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000156,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,4,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,4,2,,,,
R_00000000000157,2,1,3,,,,,,,1,1,3,2,1,,,,,3,1,2,,,4,,,,,,,,,,,,11,10,12,13,1,2,4,5,6,7,8,,,,,,9,,14,,,,,,,,,
R_00000000000158,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,2,3,1,,,4,,,,,,,,,,,14,12,1,2,4,11,10,9,8,7,6,5,,,,,,13,,,,,,,,,,,
R_00000000000159,2,1,3,1,Natalie Jordan ,,,,,1,1,3,2,1,,,,,2,3,1,,,,4,,,,,,,,,,,6,2,7,8,4,10,9,11,12,1,13,,,,,14,5,,,,,,,,,,,
R_00000000000160,2,1,3,,,,,,,1,3,2,1,1,1,,,,,,3,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,3,,2,,,
R_00000000000161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000163,3,1,2,,,,,,,1,1,2,3,1,,,,,3,1,2,,4,,,,,,,,6,7,,,,8,,,9,,5,4,,,1,2,,12,13,,,10,14,11,,,,,,,,,
R_00000000000164,1,3,2,,,,,,,1,2,1,3,1,,3,,1,,,,4,2,,,,,,,,,,,,6,,,,2,4,,,,1,,,5,,7,,,,,,,,,,,,,,
R_00000000000165,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,5,2,6,7,8,1,9,10,11,12,13,,,,,,4,,,,,,,,,,,
R_00000000000166,3,2,1,,,,,,,1,2,3,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,3,1,,,,
R_00000000000167,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000168,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,1,,,4,5,,,,,,,,,,,,,,,,,,,,,
R_00000000000169,,1,2,1,Lauren Cain,,,,,1,2,1,3,1,,2,3,1,,,,4,,,,,,,,,,,2,,1,,,,,4,,,,7,,,,6,,5,,,,,,,,,,,,,
R_00000000000170,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,2,,,,,,,,,,,,,,,,,,
R_00000000000171,3,2,1,,,,,,,,2,3,1,,3,,,,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1
R_00000000000172,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,4,5,7,6,8,1,9,10,11,12,13,,,,,,2,,,,,,,,,,,
R_00000000000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,
R_00000000000174,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,2,1,3,,,,,,,,,,,,,,,4,5,13,12,6,2,8,1,11,10,9,,,,,,7,,,,,,,,,,,
R_00000000000175,1,3,2,1,David Jacobs,3,Dylan Wright,2,Andrew Herrera,1,3,1,2,1,,,2,1,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000000176,3,2,1,,,,,,,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000178,,1,,1,Natalie Jordan ,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000179,1,3,2,,,,,,,1,3,2,1,1,,4,1,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,,1,,,
R_00000000000180,1,3,2,1,Manushi Yapabandara,,,,,1,2,1,3,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000000181,2,1,3,,,,,,,1,1,2,3,1,,,,,3,4,,,2,1,,,,,,,,,,,,12,11,10,8,9,4,6,7,1,2,5,,,,,,13,,14,,,,,,,,,
R_00000000000182,2,1,3,,Natalie Jordan,,,,,1,1,3,2,1,4,,,,3,1,2,,,,,,,,,,14,,,,,7,1,9,8,10,11,12,13,6,2,5,,,,,,4,,,,,,,,,,,
R_00000000000183,3,1,2,,,,,,,1,1,2,3,1,,,,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,5,4,,,,
R_00000000000184,2,1,3,,,,,,,1,1,3,2,1,,,,,3,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,
R_00000000000185,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000000186,1,,2,1,Manushi Yapabandara,,,,,1,3,1,2,1,,3,,,,2,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000187,,1,,1,Natalie Jordan ,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,2,,,1,,,,,,,,,,,,,,,,,
R_00000000000188,2,1,3,,,,,,,1,1,3,2,1,,,,,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000189,2,1,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000190,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,2,3,1,4,,,,,,,,,,,,,,,,4,5,,1,,2,,,,,,,,,,,,,,,,,,,,
R_00000000000191,3,1,2,,,,,,,1,1,3,2,1,3,4,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,4,5,,,
R_00000000000192,3,1,2,1,Jeffery Rosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000193,,1,,1,Natalie Jordan ,,,,,1,1,,,1,,,,,3,2,1,,,,,,,,,,,,,,,7,1,5,4,6,13,8,9,10,2,11,,,,,,12,,,,,,,,,,,
R_00000000000194,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000195,3,2,1,,,,,,,1,1,3,2,1,,,,,,3,1,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,4,,3,,,
R_00000000000196,1,,,1,Natalie Jordan,,,,,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000197,3,1,2,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,2,1,3,,,,,,,,,,,,,,,,,,,2,1,,,4,,,,,,,,5,,,,,,,,,,,
R_00000000000198,1,2,3,,,,,,,,1,2,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000199,1,2,3,1,Natalie Jordan,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000200,2,3,1,,,,,,,1,3,2,1,1,,,3,1,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000000201,1,2,3,,,,,,,1,,1,,1,,,,1,,,,,,,2,,,,,,,,1,,2,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,
R_00000000000202,1,3,2,,,,,,,1,3,1,2,1,,4,3,1,,,,,,,2,,,,,,9,8,7,6,1,,,,,,,,,,,,5,10,2,11,12,4,13,14,,,,,,,,,
R_00000000000203,2,1,3,,,,,,,1,1,2,3,1,,3,,,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000204,,1,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000205,,1,,,,,,,,1,1,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,
R_00000000000206,3,1,2,1,Natalie Jordan,,,,,1,3,1,2,1,4,,2,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,4,2,3,,,
R_00000000000207,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000208,,1,,,,,,1,Natalie Jordan,1,1,,,1,,,4,,3,1,2,,,,,,,,,,,,,,,12,11,1,9,8,2,4,5,6,7,10,,,,,,13,,,,,,,,,,,
R_00000000000209,2,1,3,,,,,,,1,1,2,3,1,,,,,3,1,2,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000210,2,1,3,,,,,,,1,1,2,3,1,,,,4,2,1,3,,,,,,,,,,,,,,14,9,11,10,12,8,4,7,13,6,2,5,,,,,,1,,,,,,,,,,,
R_00000000000211,2,1,3,1,Natalie Jordan ,,,,,1,1,2,3,1,,,,,1,3,2,,,,4,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,14,,,,,13,,,,,,,,,,,
R_00000000000212,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000213,2,1,3,,,,,,,1,1,2,3,1,,4,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,5,1,2,,,
R_00000000000214,3,1,2,1,Austin Hechler,2,Joe Magana,3,Alejandro Melgoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000215,3,1,2,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000216,3,1,2,1,Natalie jordan,,,,,1,2,3,1,1,,,3,,1,2,4,,,,,,,,,,,,,,,1,11,9,10,8,4,7,12,5,6,13,14,,,,,2,,,,,,,,,,,
R_00000000000217,3,2,1,,,,,,,1,2,1,3,1,,,,,,,,,,,,,,,2,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000218,,1,,,Natalie Jordan,,,,,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,12,11,10,9,7,8,6,1,13,5,4,,,,,,2,,,,,,,,,,,
R_00000000000219,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,1,2,3,,,,,,,,,,,,,,,4,2,1,5,6,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000220,,,,1,Natalie Jordan,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000221,,1,,1,Natalie Jordan,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000222,3,1,2,,,,,,,1,1,2,3,1,,,,4,2,1,3,,,,,,,,,,,,,,,,,1,,2,4,,,5,6,,,,,,,,,,,,,,,,,,
R_00000000000223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000224,3,1,2,1,Natalie Jordan ,,,,,1,1,3,2,1,,,,,3,1,2,,,,4,,,,,,,,,,,5,1,6,2,7,8,9,11,10,12,13,14,,,,,4,,,,,,,,,,,
R_00000000000225,3,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000226,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,3,2,1,,,,,,,,,,,,,,,2,4,1,5,,6,7,8,9,10,11,,,,,,12,,,,,,,,,,,
R_00000000000227,,1,,1,Natalie jordan,,,,,1,1,,,,,,,,1,3,2,,,,,,,,,,,,,,,5,,4,,2,1,,,,,,,,,,,6,,,,,,,,,,,
R_00000000000228,2,1,3,1,Natalie Jordan,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,2,,,4,1,,,,5,,,,,,,,,,,,,,,,,,
R_00000000000229,2,3,1,,,,,,,1,3,1,2,1,,2,,1,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,2,,,
R_00000000000230,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,4,,2,1,3,,,,,,,,,,,14,,,,13,12,11,10,9,8,7,6,5,4,2,,,,,,1,,,,,,,,,,,
R_00000000000231,2,1,3,,Natalie jordan,,,,,1,1,,,1,,,,,3,1,2,,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,,,,,,,,11,,,,,,,,,,,
R_00000000000232,2,1,3,,,,,,,1,1,3,2,1,,,,,3,1,2,,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000233,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,4,5,1,2,7,6,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000234,2,3,1,,Natalie Jordan,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000000235,,1,,1,Natalie Jordan ,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,12,5,11,8,10,2,13,9,6,4,7,,,,,,1,,,,,,,,,,,
R_00000000000236,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,1,2,3,,,,4,,,,,,,,,,,,6,7,8,4,1,9,10,11,5,12,,,,,,2,,,,,,,,,,,
R_00000000000237,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000238,2,3,1,,,,,,,1,2,3,1,1,3,,,,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,5,4,,,
R_00000000000239,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,13,12,11,10,9,1,8,7,6,5,2,,,,,,4,,,,,,,,,,,
R_00000000000240,2,3,1,1,Natalie Jordan,,,,,1,2,3,1,1,1,4,3,,,,,,2,,,,,,,,2,4,5,6,7,,,,,,,,,,1,,8,9,10,11,12,,13,14,,,,,,,,,
R_00000000000241,1,,2,,,,,,,1,,1,2,1,,2,3,1,,,,,,,,,,,,,2,4,5,6,7,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,
R_00000000000242,3,1,2,,,,,,,1,1,2,3,1,,,,,1,,,,,,,,,,,,,,,,,,6,,4,2,5,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000243,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,1,,,
